1,0.002340,0.023673
2,0.002839,0.023779
3,0.003338,0.023885
4,0.003836,0.023991
5,0.004334,0.024097
10,0.006821,0.024627
20,0.011776,0.025688
30,0.016707,0.026749
40,0.021612,0.027809
50,0.026493,0.028870
100,-0.000000,-0.000000
150,-0.000000,-0.000000
200,-0.000000,-0.000000
500,-0.000000,-0.000000
1000,-0.000000,-0.000000
2000,-0.000000,-0.000000
3000,-0.000000,-0.000000
4000,-0.000000,-0.000000
5000,-0.000000,-0.000000
6000,-0.000000,-0.000000
7000,-0.000000,-0.000000
1000,-0.000000,-0.000000
